product_id,name,link,price,original_price,saving,serving_size,weight_g,dietary_symbols,energy_kcal,energy_kj,protein_g,fat_g,saturates_g,carbs_g,sugar_g,fibre_g,salt_g,sodium_g,protein_per_pound,kcal_per_pound,grams_per_pound
2060,Honey & Ginger Chicken,https://www.cookfood.net/products/honey-ginger-chicken,6.5,6.5,0.0,Serves 1,280.0,Microwaveable | Gluten Free | Dairy Free,412.0,1733.0,34.4,14.0,2.0,36.1,28.8,2.2,2.725,1.09,5.29,63.38,43.0
921,Moroccan Spiced Harissa Chicken,https://www.cookfood.net/products/moroccan-spiced-harissa-chicken,6.5,6.5,0.0,Serves 1,295.0,Microwaveable | Gluten Free | Chilli Level 1,327.0,1372.0,33.9,12.1,1.8,23.0,1.8,4.7,1.55,0.62,5.22,50.31,45.0
8,Chicken Alexander,https://www.cookfood.net/products/chicken-alexander,6.5,6.5,0.0,Serves 1,280.0,Microwaveable,479.0,1991.0,33.6,30.5,16.2,12.9,3.9,1.4,1.775,0.71,5.17,73.69,43.0
1606,Basil & Mascarpone Chicken,https://www.cookfood.net/products/basil-mascarpone-chicken,6.5,6.5,0.0,Serves 1,225.0,Microwaveable | Gluten Free,414.0,1721.0,33.1,28.1,13.3,5.6,1.1,2.5,1.3,0.52,5.09,63.69,35.0
2470,Naked Chicken Katsu Curry,https://www.cookfood.net/products/naked-chicken-katsu-curry,6.25,6.25,0.0,Serves 1,300.0,Microwaveable | Gluten Free | Dairy Free,420.0,1746.0,31.8,27.6,21.3,9.0,6.3,4.8,1.5,0.6,5.09,67.2,48.0
2479,Chicken in Black Bean Sauce,https://www.cookfood.net/products/chicken-in-black-bean-sauce,6.5,6.5,0.0,Serves 1,300.0,Microwaveable | Gluten Free | Dairy Free,276.0,1161.0,32.7,7.5,1.2,16.8,6.9,4.8,3.35,1.34,5.03,42.46,46.0
1761,Chicken Pad Thai,https://www.cookfood.net/products/chicken-pad-thai,3.5,4.25,0.75,Pot for One,270.0,Microwave Only | Gluten Free | Dairy Free,359.0,1512.0,17.6,6.5,1.4,56.4,16.7,2.7,1.9,0.76,5.03,102.57,77.0
2473,Pulled Beef Rendang & Turmeric Rice,https://www.cookfood.net/products/pulled-beef-rendang-turmeric-rice,7.5,7.5,0.0,Serves 1,400.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 1,660.0,2760.0,37.6,32.8,20.4,52.0,4.8,2.8,2.825,1.13,5.01,88.0,53.0
2475,Chicken Chow Mein,https://www.cookfood.net/products/chicken-chow-mein,6.25,6.25,0.0,Serves 1,290.0,Microwave Only | Dairy Free,354.0,1491.0,30.7,9.0,1.2,35.4,11.0,3.8,4.725,1.89,4.91,56.64,46.0
1301,Mac Cheese with Smoky Bacon,https://www.cookfood.net/products/mac-cheese-with-smoky-bacon,6.5,6.5,0.0,Serves 1,350.0,Microwaveable,679.0,2842.0,31.9,33.6,17.2,60.6,9.8,3.9,3.125,1.25,4.91,104.46,54.0
998,Slow-cooked Rump Beef with Brandy,https://www.cookfood.net/products/rump-beef-brandy,7.0,7.0,0.0,Serves 1,270.0,Microwaveable,432.0,1798.0,34.3,21.9,7.8,11.1,5.7,1.9,1.975,0.79,4.9,61.71,39.0
418,Beef Stroganoff,https://www.cookfood.net/products/beef-stroganoff,7.0,7.0,0.0,Serves 1,280.0,Microwaveable,540.0,2254.0,33.3,36.1,16.0,13.2,5.0,2.5,2.35,0.94,4.76,77.14,40.0
2427,Smoked Haddock & Prawn Risotto,https://www.cookfood.net/products/smoked-haddock-prawn-risotto,7.0,7.0,0.0,Serves 1,370.0,Microwaveable | Gluten Free,633.0,2664.0,33.3,15.2,8.9,85.5,7.0,3.3,2.225,0.89,4.76,90.43,53.0
